AAAP,Advanced Accele. Ads,38.75,37.87,38.65,26500,0.1,0.26
AAL,American Airlines Gp,35.55,34.86,34.93,7353500,-0.62,1.74
AAME,Atlantic Amer Cp,3.43,3.31,3.42,3300,-0.01,0.29
AAOI,Applied Optoelect Cmn,21.6,20.85,21.01,409400,-0.13,0.61
AAON,Aaon Inc,28.42,27.87,28.03,98200,-0.38,1.34
AAPC,Atlantic Alliance Or,10.44,10.44,10.44,500,0.01,0.1
AAPL,Apple Inc,113.4,111.6,112.9,29853200,0.2,0.15
AAWW,Atlas Air Ww,40.53,39.76,40.1,239100,-0.57,1.4
AAXJ,Ishares MSCI Aca X-Japan,60.21,59.85,59.87,663500,-0.74,1.22
ABAC,Aoxin Tianli Grp,2.13,2.02,2.1,9900,0.01,0.48
ABAX,Abaxis Inc,51.63,50.56,50.57,99400,-1.52,2.92
ABCB,Ameris Bancorp,35.49,34.85,34.87,106300,-0.79,2.22
ABCD,Cambium Learning Grp,5.71,5.47,5.48,13600,-0.08,1.44
ABCO,Advisory Board Co,43.84,42.55,43.41,224200,-0.17,0.39
ABDC,Alcentra Capital Com,13.22,13.09,13.11,80100,-0.02,0.15
ABEO,Abeona Therapeutics,6.37,6.04,6.11,255100,-0.18,2.86
ABEOW,Abeona Thera Wts,4,2.45,3.75,4700,-0.58,13.39
ABIL,Ability Inc,3.9,3.71,3.76,4000,-0.11,2.84
ABIO,Arca Biopharma Inc,2.92,2.84,2.9,11200,0.05,1.75
ABMD,Abiomed Inc,127.2,122.3,126.7,429500,3.2,2.58
ABTL,Autobytel Inc,16.98,16.61,16.64,37200,-0.47,2.75
ABTX,Allegiance Banc CS,26.26,26,26.05,37400,-0.12,0.46
ABUS,Arbutus Biopharma Cp,4.01,3.9,3.99,183700,0.03,0.76
ABY,Atlantica Yield Plc,19.05,18.4,19.01,871400,0.01,0.05
ACAD,Acadia Pharmaceutica,34.93,33.86,34.3,1255000,-0.68,1.94
ACAS,Amer Capital Ltd,17,16.92,16.95,2812800,-0.05,0.29
ACAT,Arctic Cat Inc,14.77,14.51,14.53,67300,-0.43,2.87
ACBI,Atlantic Capital Cmn,14.98,14.56,14.58,28600,-0.42,2.8
ACET,Aceto Cp,19.66,19.02,19.03,248700,-0.53,2.71
ACFC,Atlantic Coast Finl,6.39,6.27,6.36,3500,-0.03,0.47
ACGL,Arch Capital Grp Ltd,79.96,79.39,79.46,341200,-0.83,1.03
ACHC,Acadia Healthcr Co,49.73,47.95,48.03,1286700,-1.51,3.05
ACHN,Achillion Pharmaceut,8.86,8.3,8.34,2068400,-0.35,4.03
ACIA,Acacia Communica Cmn,111.4,106.5,107.1,3285200,-12.2,10.24
ACIW,Aci Worldwide Inc,18.96,18.67,18.69,394000,-0.25,1.32
ACLS,Axcelis Tech Inc,12.98,12.34,12.85,101400,-0.25,1.91
ACNB,Acnb Corp,27.1,26.5,26.7,3800,-0.2,0.74
ACOR,Acorda Therapeutics,25,22.81,22.99,2842700,-4.29,15.73
ACPW,Active Power Cmn,0.33,0.33,0.33,4377,0.01,3.13
ACRS,Aclaris Therapts Cmn,25.02,24.45,24.93,118400,0.07,0.28
ACRX,Acelrx Pharmaceutica,3.78,3.61,3.62,316500,-0.06,1.63
ACSF,American Capital Sen,11.12,10.85,11.09,41000,0.18,1.65
